Ingredient,Vector
chicken,"[-0.024235103, 0.12161991, -0.036142796, -0.011134944, -0.053888243, 0.036211852, -0.029007442, -0.024853025, 0.11261241, -0.04548414, 0.025905984, 0.042709973, 0.15102994, -0.085037015, -0.015021415, 0.0072742295, 0.0019635463, 0.047333, 0.12570807, 0.18169889, -4.745452e-05, 0.05179186, -0.04346491, 0.0032635056, 0.059884366, 0.07765807, 0.004365468, 0.012937637, -0.050225127, 0.048213318, 0.055474613, -0.13019937, -0.045192443, 0.17259195, 0.024369195, 0.022935767, -0.04116115, 0.036274783, 0.090492144, -0.09082162, 0.08652162, -0.1180177, -0.053739347, -0.043150973, -0.05150517, -0.043515556, -0.012871531, -0.140875, -0.0022404129, -0.108964995, 0.05228707, -0.005773777, 0.010262294, 0.021160133, 0.011221706, -0.004325917, -0.0864482, 0.0066572824, -0.14205177, -0.012336103, -0.055277314, 0.0783898, -0.0010096554, -0.018913599, 0.044056933, 0.035014946, -0.07322221, 0.08094132, 0.07108992, -0.026500978, -0.12632726, -0.0012233525, 0.067825325, -0.11590449, 0.034689922, 0.09790444, -0.04721699, 0.013522341, 0.11103329, 0.06729017, 0.070077665, 0.09595785, 0.14417194, 0.013560968, -0.009376285, -0.07628902, -0.060418315, -0.06955214, 0.07904077, -0.12638295, -0.011887741, 0.06734342, -0.015413671, 0.042529896, -0.06296915, -0.02053434, -0.08340036, 0.10576492, 0.018297125, -0.03377087]"
cinnamon,"[0.03276552, -0.0459609, 0.29473987, 0.01292041, -0.27773854, -0.041628, 0.101526916, 0.15030546, -0.106324755, 0.2118558, -0.412523, -0.025642687, -0.16082187, -0.034950674, 0.13696453, 0.21690154, -0.1538682, -0.061838593, -0.13739301, -0.18983911, -0.2785089, -0.1470612, 0.07384785, -0.29889598, -0.08257122, -0.15295935, 0.0031098742, -0.32881948, 0.05010286, 0.0029150094, -0.07133417, -0.40930122, 0.32935107, -0.26967376, 0.16039364, -0.19280154, 0.40895948, -0.018326718, 0.03806361, 0.11382523, -0.10902848, 0.17853993, -0.0006859673, -0.0036437144, 0.22254588, 0.031883135, 0.14450373, 0.14893185, -0.148517, 0.1206163, -0.11535305, -0.24852647, 0.01185102, 0.23938891, 0.023736129, 0.0029355355, 0.17730992, -0.2184602, 0.06441196, -0.020417348, -0.21049629, -0.2101606, -0.004910806, -0.0553111, 0.022266103, -0.003493807, 0.03414373, -0.14811365, 0.050599143, 0.2812285, 0.11219066, -0.36046928, -0.05213621, 0.05514802, -0.048549727, -0.13622765, 0.079778925, -0.28991368, -0.0985118, -0.15080939, -0.06370487, -0.14350227, -0.12063444, 0.069324896, -0.35668564, 0.13781081, -0.029238356, 0.06523502, -0.14143087, 0.058948446, -0.1734105, -0.096909456, -0.08548499, -0.051834334, 0.07043957, 0.015329529, -0.16837375, -0.112860985, 0.03660225, 0.32908136]"
soy_sauce,"[-0.08314032, 0.058306, -0.0615335, 0.050042313, -0.07036548, 0.059865516, -0.015802061, 0.06981192, 0.023898045, 0.13116932, 0.016865153, 0.1460544, 0.14198685, -0.06727109, 0.08608989, 0.061364494, -0.057585698, 0.053296726, 0.088956125, 0.12352414, -0.06317831, 0.02274231, 0.07336894, 0.2916466, -0.040722135, 0.16301526, 0.01718022, -0.090118885, -0.12945132, -0.06546815, 0.109570704, 0.41538164, 0.07114423, 0.033674654, -0.06372595, 0.021508748, -0.09339887, 0.0064183925, -0.118654735, -0.1023138, 0.13465956, -0.09675318, -0.062193688, -0.084295765, -0.15155746, -0.091327146, 0.10227502, -0.08322301, 0.01999827, 0.03894047, -0.08405697, 0.062316433, 0.035873067, -0.19346981, 0.13670334, 0.16168667, 0.13928004, -0.021038622, 0.23373021, -0.08302693, 0.20964497, -0.041424777, -0.037159227, -0.106757805, 0.094949044, -0.07192214, -0.06400901, -0.084503874, 0.019655975, -0.10927925, -0.10098993, 0.06843104, 0.13018806, 0.10606202, 0.12531804, 0.046961427, 0.10374293, 0.061924633, 0.0923244, -0.042301446, 0.10531194, 0.084197216, 0.10770999, 0.13948482, 0.34319785, 0.16847484, -0.04558655, -0.107207105, 0.13432994, -0.085942484, 0.08785451, -0.10047335, -0.096382186, 0.030349085, -0.11053827, 0.0029456262, 0.29850814, 0.10497235, 0.08234257, -0.08807152]"
onion,"[-0.05418444, 0.05591471, -0.03990686, 0.0026702336, 0.20552672, 0.11317209, -0.037714053, -0.06867715, 0.109280355, -0.07943827, 0.15326878, 0.14439346, 0.19708961, -0.0069442107, -0.26976216, -0.13264975, 0.0732317, -0.087769195, 0.050458428, 0.25118762, 0.15893397, -0.14646994, 0.044956192, -0.15444572, -0.005643882, 0.073307484, -0.06750671, 0.105635665, -0.18697958, 0.03093891, 0.07780592, -0.118684284, -0.09359937, 0.42041224, -0.058093783, 0.122544184, -0.075832255, -0.10697054, 0.08534692, -0.15669866, 0.21993405, -0.107433066, 0.117997974, 0.14290857, 0.025427796, -0.09794505, -0.023150105, -0.16616727, -0.0017846084, 0.11771451, 0.0043800212, 0.078873314, 0.068121664, 0.14571057, -0.12043366, 0.040448207, -0.02795478, 0.12709104, -0.48850387, -0.045566585, -0.09167367, -0.0035766135, 0.029028432, 0.13761339, -0.074598186, 0.1646012, -0.14959434, -0.11102117, -0.16508265, 0.012744035, -0.19551326, 0.13182622, 0.15224797, 0.049245443, 0.11167355, 0.13544475, -0.009543808, 0.043762237, 0.055481076, 0.07568406, 0.14661646, 0.1491614, 0.19725668, -0.09481654, -0.08724354, 0.0059219846, 0.019508962, -0.016218636, 0.12574326, -0.2153279, -0.25124645, 0.06822892, 0.0072522145, -0.10932359, -0.16464992, 0.09149863, -0.18738824, 0.12553409, -0.028674401, 0.0060948143]"
ginger,"[-0.017708903, -0.030231655, 0.097011775, -0.008952535, -0.20547746, -0.05402738, 0.0009899199, 0.117915265, -0.04523036, 0.22138584, -0.17946152, 0.057031434, -0.02057027, 0.016869927, 0.15087466, 0.12807481, -0.09024258, 0.03504725, -0.02707275, -0.014153631, -0.1362416, 0.00025812705, 0.030057691, -0.010794676, -0.023714092, 0.0578012, -0.022418289, -0.22696692, -0.035225287, -0.055898387, 0.0006665293, 0.16657977, 0.20567545, -0.13359445, -0.03780193, -0.08960264, 0.11219833, -0.0035319517, -0.17925702, 0.012779086, 0.050629567, 0.02918583, -0.08419491, -0.028657485, 0.058572304, -0.041380543, 0.061965168, 0.06466524, 0.06409087, 0.043585658, -0.12623557, -0.13199718, 0.022075208, -0.07436652, 0.16360274, 0.07893205, 0.20236196, -0.13569923, 0.2573059, -0.055747706, 0.103405125, -0.13008563, -0.06612502, -0.08300438, 0.01789541, -0.12705787, 0.029188192, -0.10670783, -0.0038734928, 0.023307497, -0.02487458, -0.09237974, 0.03862419, 0.06841193, 0.0057070716, -0.044053916, 0.08732946, -0.072883904, -0.010983469, -0.10893185, 0.04536676, -0.015890138, 0.010709234, 0.11420713, -0.027500806, 0.23337802, -0.055862915, -0.0104878135, 0.0127474405, 0.019252876, 0.123119295, -0.12782979, -0.04447741, -0.03096718, -0.029680021, -0.07500789, 0.17458373, 0.017072177, 0.046746135, 0.092773214]"
cane_molasses,"[0.0939569, -0.089920826, 0.27782393, 0.012719759, -0.020791642, 0.09971354, 0.23848005, 0.10718004, -0.100706644, 0.2378507, -0.20344433, 0.074272685, -0.09059798, 0.018867642, -0.13271397, 0.023772007, -0.059739836, 0.066523656, -0.03824665, -0.0381123, -0.043165084, -0.28298533, 0.27912542, -0.37232077, -0.24055468, -0.014454203, -0.083073884, -0.15329263, -0.022500917, -0.15956107, 0.051863663, -0.5164897, 0.21109754, 0.021439798, 0.02150322, -0.08513088, 0.27584213, 0.03828399, -4.7701884e-05, 0.036677346, 0.038705003, 0.061315257, 0.04804885, 0.015024354, 0.25730637, -0.0036281508, 0.20957299, 0.03203101, -0.07060254, 0.22239909, -0.1367938, -0.1903473, 0.20747894, 0.27463347, 0.045469917, 0.18876225, 0.2683414, -0.1569676, -0.33206296, -0.052380435, -0.30042496, -0.26779246, 0.080326594, -0.13858007, -0.018387517, 0.18855427, -0.08959453, -0.46222422, -0.1464724, 0.21638699, 0.065666504, -0.23308079, 0.008869062, 0.24052678, 0.0332772, 0.014157493, 0.23759034, -0.16053613, -0.025437385, -0.29318684, 0.0011592599, -0.021029497, -0.03635748, 0.08359856, -0.40456006, 0.2976974, -0.012147916, -0.024000186, -0.028154757, -0.010770653, -0.35441402, -0.22825068, -0.17961107, -0.16490465, -0.06343975, 0.032126926, -0.29505154, -0.0374723, 0.0073484, 0.34911525]"
cumin,"[-0.025809329, 0.050767757, -0.12561278, -0.030969279, -0.04513263, -0.05843649, -0.13215926, 0.045169324, 0.11580211, 0.091450624, 0.08524017, 0.0368697, 0.14453508, -0.049577117, 0.024762264, 0.016232396, -0.032825373, 0.04653846, 0.06997024, 0.19930466, 0.081818245, -0.004753787, -0.05574221, -0.01814455, -0.059634462, 0.14929272, -0.11422073, 0.019909577, -0.14806667, -0.062478673, 0.095077984, 0.023360955, -0.10571124, 0.16693118, 0.0034564098, -0.0021606546, -0.08784207, -0.069735855, -0.12881573, -0.09641562, 0.15607652, -0.10222865, -0.14218655, -0.05208006, -0.10002339, -0.13097762, -0.031561002, -0.06816879, 0.13742413, -0.10533178, -0.15104045, -0.014166799, 0.06690483, -0.1031761, 0.10126177, 0.05482204, -0.0056946655, -0.106821425, -0.094596684, -0.09237732, 0.07346404, -0.0037689933, 0.006155511, -0.07596645, -0.06616222, -0.07617761, 0.024593167, -0.036440577, -0.040328886, -0.022867704, -0.1701974, 0.12389041, 0.100597166, -0.025882173, 0.07184678, 0.04982101, -0.019032383, 0.13234498, 0.11322638, -0.04353607, 0.17770384, 0.10813722, 0.2080009, 0.14036925, -0.047671065, 0.061085127, -0.07612246, -0.100945, 0.07654027, -0.1314896, 0.062268075, 0.054886043, -0.0143231675, -0.021652173, -0.16044573, -0.14467622, -0.005393817, 0.101790905, 0.06295492, -0.079500094]"
garlic,"[-0.048950456, 0.1493937, -0.07974687, 0.007968081, 0.031150524, 0.05508527, -0.06624215, -0.06122419, 0.16719818, -0.073799245, 0.07943996, 0.10156189, 0.22113717, -0.06724804, -0.10663909, -0.06892937, 0.0034508305, 0.034468938, 0.15672323, 0.27219677, 0.0653823, -0.006953848, -0.037758056, 0.030870162, 0.02631627, 0.12691233, -0.062263228, 0.08461029, -0.09367751, 0.05227947, 0.10249053, 0.060932532, -0.096934535, 0.32342324, 0.00039005373, 0.04935778, -0.10637117, -0.030031905, 0.057547823, -0.14198881, 0.18646169, -0.18100125, -0.047760826, 0.020675452, -0.08551966, -0.08727282, -0.056814305, -0.20647098, -0.015028402, -0.098523445, 0.04395572, 0.081600286, -0.020514738, 0.036030445, -0.003800101, 0.0030919313, -0.066413574, 0.074039556, -0.15910648, -0.018635415, 0.028836489, 0.07654607, -0.0035464303, 0.019506214, 0.0065690596, 0.038448825, -0.09357566, 0.06938542, 0.008688816, -0.04257364, -0.22096911, 0.087714694, 0.12123225, -0.04695199, 0.08101102, 0.18497044, -0.076369844, 0.101825334, 0.13104257, 0.0911948, 0.14916258, 0.13772553, 0.24009353, -0.05611083, 0.09081355, -0.049823757, -0.012949911, -0.10655017, 0.12672332, -0.21815956, -0.0077613564, 0.036200665, 0.017649045, 0.03541765, -0.112642, -0.016252987, -0.119531915, 0.15697515, 0.0035638665, -0.11716213]"
tamarind,"[0.004004744, 0.061859798, 0.05588459, 0.15707575, 0.24191123, 0.22034337, 0.092596054, 0.0039528552, 0.047359247, 0.050175317, 0.116742946, 0.27036777, 0.21236871, -0.08442651, -0.24888547, -0.11234223, -0.075150125, 0.0053274618, 0.12647638, 0.29280037, 0.12191133, -0.3056057, 0.25773776, -0.16726245, -0.021808717, 0.21956292, -0.039993335, 0.12995577, -0.18058778, 0.02584498, 0.11816638, -0.22666468, -0.03616102, 0.45854273, -0.051803786, 0.016151143, -0.044465784, -0.034161042, 0.11243561, -0.13388343, 0.2650325, -0.12827173, 0.06480088, 0.05839099, -0.00011848599, -0.078078136, 0.1994963, -0.22567417, -0.029867863, 0.11982051, 0.082093626, 0.047585536, 0.13989776, 0.15620309, -0.04890801, 0.2034798, 0.045157686, 0.12677461, -0.5455642, -0.16172488, -0.10571883, -0.059373036, -0.041397594, -0.08086188, 0.08222899, 0.22553052, -0.15570538, -0.24621542, -0.20980352, -0.037058387, -0.14213036, 0.059592165, 0.15027244, 0.054882072, 0.27550933, 0.20912342, 0.079122595, 0.025177289, 0.095711, -0.050658725, 0.20373455, 0.11606883, 0.13604519, -0.052426122, -0.21399587, 0.13795651, 0.11161659, -0.1095087, 0.20755021, -0.20487016, -0.32054514, -0.18232045, -0.22272249, -0.056550924, -0.1763547, 0.1285842, -0.2648334, 0.1501835, -0.013959946, 0.120058775]"
bread,"[-0.069202885, 0.12686925, 0.1414907, 0.10939042, 0.023180302, 0.16107507, 0.10077347, -0.121233575, 0.15645182, -0.16463092, -0.06468748, -0.033234507, 0.13006389, -0.12178968, -0.13916047, -0.030127155, 0.09018854, -0.011308518, 0.13415827, 0.14544742, -0.033880252, -0.05234973, 0.029607788, -0.105207086, 0.08308217, -0.039849717, -0.013130437, 0.04881058, 0.01898162, 0.09880599, 0.04564016, -0.3236877, -0.012317792, 0.23524527, 0.13497975, 0.013497736, 0.13227515, 0.14319216, 0.39354345, -0.054675028, -0.011665405, -0.1638698, 0.056964453, 0.013941316, 0.09155524, 0.045360256, 0.014708346, -0.14912787, -0.20098841, -0.047936283, 0.19039226, -0.032494523, 0.0070491307, 0.26389897, -0.12586042, -0.06842397, -0.1694205, 0.099682614, -0.34706208, 0.008801444, -0.25604585, 0.05579109, 0.14038673, 0.03573315, 0.062286723, 0.26648346, -0.12843858, 0.10109345, 0.111002065, 0.12333754, -0.07254387, -0.14737594, -0.010583829, -0.07736346, 0.029498225, 0.13241138, -0.06349301, -0.11887024, 0.10212126, 0.07420754, 0.004891172, 0.042278215, 0.12388, -0.14197457, -0.082804374, -0.18815964, -0.020881973, -0.07033239, 0.054557104, -0.120970346, -0.31296125, 0.064191945, 0.0013297064, 0.08834736, 0.0065366244, 0.18929236, -0.3198627, 0.08399059, -0.019668486, 0.087851]"
